year_start,treated_index,synth_index,gap,pool_id,pool_label,treated_code,treated_name,treatment_status,industry,pre_mspe
2017,121.59389167263184,144.6101952747245,-23.016303602092663,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Accommodation and food services,0.006365834518353652
2018,128.70436649964208,149.37536080829133,-20.670994308649256,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Accommodation and food services,0.006365834518353652
2011,101.29870129870129,100.37479077403728,0.9239105246640094,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Arts and recreation services,0.8536106688234462
2012,100.92764378478664,101.85155432161473,-0.9239105368280889,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Arts and recreation services,0.8536106688234462
2013,100,99.99999999999389,6.110667527536862e-12,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Arts and recreation services,0.8536106688234462
2014,103.3395176252319,104.18342292027376,-0.84390529504185,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Arts and recreation services,0.8536106688234462
2015,114.47124304267162,101.75863201167778,12.712611030993841,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Arts and recreation services,0.8536106688234462
2016,128.57142857142856,104.98549961470792,23.585928956720636,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Arts and recreation services,0.8536106688234462
2017,130.05565862708718,108.36420341480475,21.691455212282435,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Arts and recreation services,0.8536106688234462
2018,133.58070500927644,113.11765901451975,20.463045994756698,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Arts and recreation services,0.8536106688234462
2011,97.59679572763685,100.48405859925653,-2.887262871619683,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Retail trade,8.336293643485764
2012,103.20427236315086,100.31700715241286,2.8872652107380077,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Retail trade,8.336293643485764
2013,100.00000000000001,99.99999999995882,4.119726781937061e-11,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Retail trade,8.336293643485764
2014,104.8731642189586,100.34188974703049,4.531274471928114,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Retail trade,8.336293643485764
2015,102.40320427236315,98.41969183584048,3.9835124365226733,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Retail trade,8.336293643485764
2016,108.74499332443258,102.19508577727967,6.5499075471529125,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Retail trade,8.336293643485764
2017,109.47930574098798,102.910182506481,6.569123234506989,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Retail trade,8.336293643485764
2018,101.93591455273697,104.37438558076607,-2.438471028029099,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Retail trade,8.336293643485764
